time,agent,symbol,action,pnl
2025-10-31T00:16:04.907540,fusion,EURUSD=X,HOLD,0.0
2025-10-31T00:17:43.540529,fusion,EURUSD=X,HOLD,0.0
2025-10-31T00:18:46.138980,fusion,EURUSD=X,HOLD,0.0
2025-10-31T00:20:36.110335,fusion,EURUSD=X,HOLD,0.0
2025-10-31T00:21:58.657414,fusion,EURUSD=X,HOLD,0.0
2025-10-31T00:42:57.218720,fusion,EURUSD=X,HOLD,0.0
